arm	representation	valid_paired_n	source_frame_n	image_removal_mean_drift	image_removal_median_drift	alternate_answer_mean_drift	alternate_answer_median_drift	answer_minus_image_mean_difference	difference_ci_lower_95	difference_ci_upper_95	direction_answer_greater_than_image	source_rationales_with_choice_match	grey_rationales_with_choice_match	alternate_rationales_with_choice_match	records_with_any_choice_match	total_choice_string_occurrences
plain	final_span	200	185	0.07793990075588227	0.07919368147850037	0.10330929934978485	0.10429316759109497	0.025369398593902588	0.019607932682778526	0.03116527774781667	True	0	0	2	2	2
plain	reasoning_only	200	185	0.07513176620006562	0.0775226354598999	0.10151137679815292	0.10311588644981384	0.02637961059808731	0.02055014009812564	0.032129825640526986	True	0	0	2	2	2
plain	answer_choice_masked_final	200	185	0.07793990075588227	0.07919368147850037	0.10364158302545548	0.10429316759109497	0.02570168226957321	0.019909437173339466	0.03149672624940919	True	0	0	2	2	2
point	final_span	200	185	0.07904332101345063	0.08031225204467773	0.10426488906145095	0.10357993841171265	0.025221568048000336	0.01966899371111304	0.03059443149152141	True	1	1	1	3	3
point	reasoning_only	200	185	0.07785373896360398	0.07909491658210754	0.10321613609790802	0.10237205028533936	0.025362397134304045	0.01984091424214171	0.03082376267883315	True	1	1	1	3	3
point	answer_choice_masked_final	200	185	0.07975048631429672	0.081440269947052	0.10451097011566163	0.10410133004188538	0.024760483801364898	0.01914350931524341	0.030147257569535024	True	1	1	1	3	3
plain_desc	final_span	200	185	0.06915748834609986	0.06923303008079529	0.09549816042184829	0.09542298316955566	0.026340672075748445	0.0198808061670588	0.032766977613823474	True	1	1	0	2	2
plain_desc	reasoning_only	200	185	0.06876100361347198	0.06923303008079529	0.09539171397686004	0.09542298316955566	0.02663071036338806	0.020180850382341558	0.033017154228114284	True	1	1	0	2	2
plain_desc	answer_choice_masked_final	200	185	0.06980440467596054	0.06974044442176819	0.09576490253210068	0.09542298316955566	0.025960497856140137	0.019470098213791247	0.03242844881195047	True	1	1	0	2	2
point_desc	final_span	200	185	0.073923859000206	0.08149555325508118	0.09799586445093154	0.09911590814590454	0.024072005450725555	0.018659851165748916	0.02961693049037662	True	0	0	1	1	1
point_desc	reasoning_only	200	185	0.07334037214517593	0.08131423592567444	0.09799356520175934	0.09864988923072815	0.024653193056583405	0.019280550392784142	0.03010131008040893	True	0	0	1	1	1
point_desc	answer_choice_masked_final	200	185	0.07392386019229889	0.08149555325508118	0.0980939257144928	0.09911590814590454	0.024170065522193907	0.01873664189565	0.029739295660282068	True	0	0	1	1	1
