arm	text_unit	condition	valid_pair_n	source_frame_n	mean_raw_drift	median_raw_drift	ascending_rank_within_unit	exact_order_matches_final_primary	unit_order_low_to_high	primary_order_low_to_high
plain	tolerant_final_primary	grey	2653	2400	0.08352776237402239	0.08490723371505737	4	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain	tolerant_final_primary	mismatch	2653	2400	0.08823317217458386	0.08940303325653076	5	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain	tolerant_final_primary	mask	2653	2400	0.07617629407892755	0.0788726806640625	2	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain	tolerant_final_primary	noise	2653	2400	0.07688506537907266	0.07884299755096436	3	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain	tolerant_final_primary	mirror	2652	2399	0.05749535403280416	0.05837404727935791	1	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain	tolerant_reasoning_sensitivity	grey	2653	2400	0.08141944968291512	0.08291095495223999	4	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain	tolerant_reasoning_sensitivity	mismatch	2653	2400	0.0856295639373112	0.08695900440216064	5	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain	tolerant_reasoning_sensitivity	mask	2653	2400	0.07305214603217737	0.07579702138900757	2	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain	tolerant_reasoning_sensitivity	noise	2653	2400	0.07395782822983875	0.07631164789199829	3	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain	tolerant_reasoning_sensitivity	mirror	2653	2400	0.053659925494965094	0.05522674322128296	1	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain	raw_full_generation_sensitivity	grey	2653	2400	0.06116961902642852	0.0620536208152771	4	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain	raw_full_generation_sensitivity	mismatch	2653	2400	0.06506319586124414	0.06620579957962036	5	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain	raw_full_generation_sensitivity	mask	2653	2400	0.05551509339540714	0.05720722675323486	2	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain	raw_full_generation_sensitivity	noise	2653	2400	0.056156752651428846	0.05734121799468994	3	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain	raw_full_generation_sensitivity	mirror	2653	2400	0.04190155939025965	0.04205077886581421	1	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
point	tolerant_final_primary	grey	2653	2400	0.08167412909659807	0.08256155252456665	4	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point	tolerant_final_primary	mismatch	2653	2400	0.08856879062936569	0.0900120735168457	5	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point	tolerant_final_primary	mask	2653	2400	0.07576654436360923	0.07756912708282471	3	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point	tolerant_final_primary	noise	2653	2400	0.07454584303595999	0.07601970434188843	2	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point	tolerant_final_primary	mirror	2653	2400	0.060441277362336045	0.061858415603637695	1	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point	tolerant_reasoning_sensitivity	grey	2653	2400	0.0803680511586764	0.08126974105834961	4	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point	tolerant_reasoning_sensitivity	mismatch	2653	2400	0.08693682907034755	0.08831125497817993	5	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point	tolerant_reasoning_sensitivity	mask	2653	2400	0.07340613183910515	0.0751800537109375	3	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point	tolerant_reasoning_sensitivity	noise	2653	2400	0.07234331838508574	0.07434207201004028	2	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point	tolerant_reasoning_sensitivity	mirror	2653	2400	0.05761658956633394	0.05955004692077637	1	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point	raw_full_generation_sensitivity	grey	2653	2400	0.05984219031382452	0.06006813049316406	4	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point	raw_full_generation_sensitivity	mismatch	2653	2400	0.06530255476933267	0.06573855876922607	5	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point	raw_full_generation_sensitivity	mask	2653	2400	0.05529155371281681	0.05596363544464111	3	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point	raw_full_generation_sensitivity	noise	2653	2400	0.054435284844084685	0.054739952087402344	2	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point	raw_full_generation_sensitivity	mirror	2653	2400	0.04425333580160159	0.04488646984100342	1	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
plain_desc	tolerant_final_primary	grey	2652	2399	0.07454283294994188	0.0762786865234375	4	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain_desc	tolerant_final_primary	mismatch	2652	2399	0.07879433707863677	0.0804583728313446	5	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain_desc	tolerant_final_primary	mask	2652	2399	0.06688640744258197	0.06838542222976685	2	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain_desc	tolerant_final_primary	noise	2651	2398	0.0680865881039214	0.06910747289657593	3	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain_desc	tolerant_final_primary	mirror	2651	2398	0.04958730409928692	0.048920392990112305	1	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain_desc	tolerant_reasoning_sensitivity	grey	2653	2400	0.07364864294096699	0.07548069953918457	4	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain_desc	tolerant_reasoning_sensitivity	mismatch	2651	2399	0.07782978024045642	0.07962924242019653	5	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain_desc	tolerant_reasoning_sensitivity	mask	2652	2399	0.06599211414115641	0.06794852018356323	2	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain_desc	tolerant_reasoning_sensitivity	noise	2651	2398	0.06711843700869405	0.06843268871307373	3	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain_desc	tolerant_reasoning_sensitivity	mirror	2648	2395	0.04821294570887557	0.047762274742126465	1	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain_desc	raw_full_generation_sensitivity	grey	2653	2400	0.05467367951842106	0.05530273914337158	4	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain_desc	raw_full_generation_sensitivity	mismatch	2653	2400	0.05793675262434636	0.05789369344711304	5	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain_desc	raw_full_generation_sensitivity	mask	2653	2400	0.04885982840275971	0.04923546314239502	2	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain_desc	raw_full_generation_sensitivity	noise	2653	2400	0.04980774101921625	0.050708234310150146	3	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
plain_desc	raw_full_generation_sensitivity	mirror	2653	2400	0.0364735971699559	0.03565788269042969	1	True	mirror < mask < noise < grey < mismatch	mirror < mask < noise < grey < mismatch
point_desc	tolerant_final_primary	grey	2653	2400	0.07704757992564351	0.0786389708518982	4	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point_desc	tolerant_final_primary	mismatch	2653	2400	0.08904628359592955	0.08833980560302734	5	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point_desc	tolerant_final_primary	mask	2652	2399	0.07156762878549584	0.07416841387748718	3	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point_desc	tolerant_final_primary	noise	2652	2399	0.07054999931455558	0.07299020886421204	2	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point_desc	tolerant_final_primary	mirror	2652	2399	0.05903591572968669	0.06018400192260742	1	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point_desc	tolerant_reasoning_sensitivity	grey	2652	2399	0.07540848830976098	0.07746770977973938	4	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
point_desc	tolerant_reasoning_sensitivity	mismatch	2647	2395	0.08740684314633389	0.08703345060348511	5	True	mirror < noise < mask < grey < mismatch	mirror < noise < mask < grey < mismatch
