analysis	arm	condition	n	raw_mean_drift	baseline_rescaled_mean_drift	raw_sign	rescaled_sign	ordering_preserved_by_monotonic_rescaling	role
primary_final	plain	grey	2653	0.08352776237402239	0.49490894553676756	positive	positive	True	sensitivity/scale diagnostic only
primary_final	plain	mismatch	2653	0.08823317217458386	0.5227888903183185	positive	positive	True	sensitivity/scale diagnostic only
primary_final	plain	mask	2653	0.07617629407892755	0.45135088389756467	positive	positive	True	sensitivity/scale diagnostic only
primary_final	plain	noise	2653	0.07688506537907266	0.4555504128543062	positive	positive	True	sensitivity/scale diagnostic only
primary_final	plain	mirror	2652	0.05749535403280416	0.34066475898422843	positive	positive	True	sensitivity/scale diagnostic only
deliberate_answer_control	plain	alternate_answer	200	0.10330929934978485	0.6121161988800696	positive	positive	True	sensitivity/scale diagnostic only
unrelated_reference	plain	unrelated	2653	0.12602278413837287	0.7466954870914531	positive	positive	True	sensitivity/scale diagnostic only
primary_final	point	grey	2653	0.08167412909659807	0.4839260140578412	positive	positive	True	sensitivity/scale diagnostic only
primary_final	point	mismatch	2653	0.08856879062936569	0.524777457602271	positive	positive	True	sensitivity/scale diagnostic only
primary_final	point	mask	2653	0.07576654436360923	0.44892308272369696	positive	positive	True	sensitivity/scale diagnostic only
primary_final	point	noise	2653	0.07454584303595999	0.4416903257371396	positive	positive	True	sensitivity/scale diagnostic only
primary_final	point	mirror	2653	0.060441277362336045	0.3581195999522204	positive	positive	True	sensitivity/scale diagnostic only
deliberate_answer_control	point	alternate_answer	200	0.10426488906145095	0.6177781474720689	positive	positive	True	sensitivity/scale diagnostic only
unrelated_reference	point	unrelated	2653	0.12519528537348357	0.741792488022347	positive	positive	True	sensitivity/scale diagnostic only
primary_final	plain_desc	grey	2652	0.07454283294994188	0.4416724907269004	positive	positive	True	sensitivity/scale diagnostic only
primary_final	plain_desc	mismatch	2652	0.07879433707863677	0.46686300661616587	positive	positive	True	sensitivity/scale diagnostic only
primary_final	plain_desc	mask	2652	0.06688640744258197	0.3963075322181258	positive	positive	True	sensitivity/scale diagnostic only
primary_final	plain_desc	noise	2651	0.0680865881039214	0.4034187025485052	positive	positive	True	sensitivity/scale diagnostic only
primary_final	plain_desc	mirror	2651	0.04958730409928692	0.29380890480338756	positive	positive	True	sensitivity/scale diagnostic only
deliberate_answer_control	plain_desc	alternate_answer	200	0.09549816042184829	0.5658345504748854	positive	positive	True	sensitivity/scale diagnostic only
unrelated_reference	plain_desc	unrelated	2651	0.12226348341927804	0.7244213173787316	positive	positive	True	sensitivity/scale diagnostic only
primary_final	point_desc	grey	2653	0.07704757992564351	0.4565133250716551	positive	positive	True	sensitivity/scale diagnostic only
primary_final	point_desc	mismatch	2653	0.08904628359592955	0.5276066431792192	positive	positive	True	sensitivity/scale diagnostic only
primary_final	point_desc	mask	2652	0.07156762878549584	0.4240441583744881	positive	positive	True	sensitivity/scale diagnostic only
primary_final	point_desc	noise	2652	0.07054999931455558	0.4180146190441394	positive	positive	True	sensitivity/scale diagnostic only
primary_final	point_desc	mirror	2652	0.05903591572968669	0.3497927152860434	positive	positive	True	sensitivity/scale diagnostic only
deliberate_answer_control	point_desc	alternate_answer	200	0.09799586445093154	0.580633654774619	positive	positive	True	sensitivity/scale diagnostic only
unrelated_reference	point_desc	unrelated	2653	0.12580313100214505	0.7453940239737463	positive	positive	True	sensitivity/scale diagnostic only
