family	arm	condition	artifact_paths_json	artifact_sha256s_json	artifact_set_sha256	raw_n	ordered_id_sha256	source_frame_n	prompt_sha256_ordered_hash	canonical_checkpoint_sha256s_json	transport_checkpoint_sha256s_json	model_processor_revisions_json	output_schema_versions_json	environment_sha256s_json	hardware_runtime_lineage	ledger_reconciled	record_hashes_valid	status
stage2_primary	plain	grey	"[""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__grey/worker_0/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__grey/worker_1/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__grey/worker_2/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__grey/worker_3/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__grey/worker_4/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__grey/worker_5/records.jsonl""]"	"[""4d66811835b772a829b1b1f05d65631339869909176abd45b4f6fc7492206e6c"", ""b2fd75e6c411117a33ad09f9565dfe0d170c1c058ab09617914d5973928f770d"", ""a8093272efba84f12a89c0e6c325ae8e145f8b3c1a77337fc47b11935d5b0633"", ""540667a7ad5b8022680275c64614ae2345b066f9052897e6e35661fdb1fcee39"", ""64970cb5cc28b4af36572532867a5d2a8c56ffbbbda6a76a546393eb139de44b"", ""c06755057ff1f3bf103db60198454fb274a45a3427690f5d4f39a1cd7efc65d2""]"	600f6acf0b1b71a92191261ec0830b1375df0b7738102198c488dcd9bc254572	2653	65cd7a6aa4665d475f3663a6aec054a1eeb99bc283ba841cc20384abb257aa17	2400	502f909669b6be5887377a5e3b2657b32b4cdaea4d12b692ea21bf283527c7ac	"[""e629c5c818e527b810e6df8d6707e7c634f17ff984280479a992fb2b558569cb""]"	"[""5c5627554f044d10b9c7c891aab756a81245e70bdee213d27648887b0e48079b""]"	"[""66285546d2b821cf421d4f5eb2576359d3770cd3""]"	"[""stage2-primary-v1""]"	"[""1413e536e25e8e7dfd44db61b6c3a3a37f88c1a8d372299712c071ad04626220"", ""f13e596bf2974677f2d476dcc77b594f77d4f9427d27dae4f99b846d8c7c7bdf""]"	homogeneous qualified RTX-5090 production lineage	True	True	PASS
stage2_primary	plain	mask	"[""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__mask/worker_0/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__mask/worker_1/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__mask/worker_2/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__mask/worker_3/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__mask/worker_4/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__mask/worker_5/records.jsonl""]"	"[""a013a1df8376f31785c14f2df329647653dba103ef9c29edc79fe912ad27129b"", ""9eb37dee5e0bca5fe439e5bdbf377717c7f3c122372214159da338268073909f"", ""213d4f0a96fd6255646161730292e901458f3d803a8c6a9d489e1228c727bf41"", ""1b66eeee83e1227d0f28be01ad1983f3e333be6ae63befd182a08a7799b77f4c"", ""8ef9d5f260fab705c87cd5f3475876f3468d44c3a432bd3915019612c0baabe2"", ""0cc85bc9d5fe0deab59e458f35f310118d2d0dac3bacd601d811a92dde24a5d7""]"	5bb894ea8ebe1af51d31ecb7e9c1f23e7507127b560713f7152b90f5237ade9c	2653	65cd7a6aa4665d475f3663a6aec054a1eeb99bc283ba841cc20384abb257aa17	2400	502f909669b6be5887377a5e3b2657b32b4cdaea4d12b692ea21bf283527c7ac	"[""e629c5c818e527b810e6df8d6707e7c634f17ff984280479a992fb2b558569cb""]"	"[""5c5627554f044d10b9c7c891aab756a81245e70bdee213d27648887b0e48079b""]"	"[""66285546d2b821cf421d4f5eb2576359d3770cd3""]"	"[""stage2-primary-v1""]"	"[""1413e536e25e8e7dfd44db61b6c3a3a37f88c1a8d372299712c071ad04626220"", ""f13e596bf2974677f2d476dcc77b594f77d4f9427d27dae4f99b846d8c7c7bdf""]"	homogeneous qualified RTX-5090 production lineage	True	True	PASS
stage2_primary	plain	mirror	"[""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__mirror/worker_0/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__mirror/worker_1/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__mirror/worker_2/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__mirror/worker_3/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__mirror/worker_4/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__mirror/worker_5/records.jsonl""]"	"[""dee3c226ab08616a8ddc454fb8a0e29deb63333f76de465b10079dfcf8d254a4"", ""b2f6664447d2e4468feb8f86f2f345a69d37bf4ca8ea3d17cd58a4927c276cb9"", ""80d2b20c2004ee18ddc9ba4ea055a3f3d87d53fd71b0ec6022f4bcde9f6abddd"", ""285aac7a69096a4b5b9f8c349d075e08550cc140f327fdc64b52367d39402772"", ""c9a29f31de4c65d897782183a1f4d62ad18cd01f6e251377b2048eed47cb0326"", ""67b22a4abb8618defc1177be232df0e1d4f11a7ae7eb09e5bab6cd4a25cbfad4""]"	06b87d6df0b5f1c493e64a853b5252fa161ca9833c0d69d77ad47211e9012a04	2653	65cd7a6aa4665d475f3663a6aec054a1eeb99bc283ba841cc20384abb257aa17	2400	502f909669b6be5887377a5e3b2657b32b4cdaea4d12b692ea21bf283527c7ac	"[""e629c5c818e527b810e6df8d6707e7c634f17ff984280479a992fb2b558569cb""]"	"[""5c5627554f044d10b9c7c891aab756a81245e70bdee213d27648887b0e48079b""]"	"[""66285546d2b821cf421d4f5eb2576359d3770cd3""]"	"[""stage2-primary-v1""]"	"[""1413e536e25e8e7dfd44db61b6c3a3a37f88c1a8d372299712c071ad04626220"", ""f13e596bf2974677f2d476dcc77b594f77d4f9427d27dae4f99b846d8c7c7bdf""]"	homogeneous qualified RTX-5090 production lineage	True	True	PASS
stage2_primary	plain	mismatch	"[""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__mismatch/worker_0/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__mismatch/worker_1/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__mismatch/worker_2/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__mismatch/worker_3/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__mismatch/worker_4/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__mismatch/worker_5/records.jsonl""]"	"[""2be24016fd5489b2d563965cb20a0af75aca2e1c13cedcf085bbf3a73e1cff94"", ""e6965b697ab6b8b0554c482e54a2dc595958ce15696a8449b1f7801c06cc2f3c"", ""00ebc5735d0f585accef21a361b2169b8a057fff9037894671aa0929acb04dbe"", ""6166c9097a736321e27096b2018a75b03b95629e3db76945efdee909423b69c0"", ""ca64001a10592bf8d8597af5d75e7f2d311df2190cb453b27f5e6204e19ff180"", ""3e98b1a5a64573073e27d4635aebdd43ddaa259b45bff1ac7168c1634198bc61""]"	24ad8593f995a135ad5f8ef5e99b8572ca813679eaa8e34853a3715923f60f4e	2653	65cd7a6aa4665d475f3663a6aec054a1eeb99bc283ba841cc20384abb257aa17	2400	502f909669b6be5887377a5e3b2657b32b4cdaea4d12b692ea21bf283527c7ac	"[""e629c5c818e527b810e6df8d6707e7c634f17ff984280479a992fb2b558569cb""]"	"[""5c5627554f044d10b9c7c891aab756a81245e70bdee213d27648887b0e48079b""]"	"[""66285546d2b821cf421d4f5eb2576359d3770cd3""]"	"[""stage2-primary-v1""]"	"[""1413e536e25e8e7dfd44db61b6c3a3a37f88c1a8d372299712c071ad04626220"", ""f13e596bf2974677f2d476dcc77b594f77d4f9427d27dae4f99b846d8c7c7bdf""]"	homogeneous qualified RTX-5090 production lineage	True	True	PASS
stage2_primary	plain	noise	"[""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__noise/worker_0/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__noise/worker_1/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__noise/worker_2/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__noise/worker_3/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__noise/worker_4/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__noise/worker_5/records.jsonl""]"	"[""c43a44ac29f8a8067f9bb1da630cae0474f0c5fb8fb007d1cce8e26c1e148b13"", ""e3042fd01a71169c8bf4f82bc7f557f65a81296c08f50424f528304f663f887b"", ""eb85d6e1d2c940e1f5945cfb13f9e71ecd5298b3870620b805243c8d6fc42478"", ""f6f155a46cc31326a5b6373a91541a45820d1834d316ef58eb713777637dae78"", ""5613c2ef649e6e1c710f8f3b7ca00ec9f02511c9aacc483f98480d92c91339df"", ""516a438728a77ab5d9a3a8fb6de22b0f8c03b596dd9c8e2c516b88bb41ab38d0""]"	1692e9b056ad86157a8a352805349451d1dcaa87f5759e2f9bd95b9ce42abb02	2653	65cd7a6aa4665d475f3663a6aec054a1eeb99bc283ba841cc20384abb257aa17	2400	502f909669b6be5887377a5e3b2657b32b4cdaea4d12b692ea21bf283527c7ac	"[""e629c5c818e527b810e6df8d6707e7c634f17ff984280479a992fb2b558569cb""]"	"[""5c5627554f044d10b9c7c891aab756a81245e70bdee213d27648887b0e48079b""]"	"[""66285546d2b821cf421d4f5eb2576359d3770cd3""]"	"[""stage2-primary-v1""]"	"[""1413e536e25e8e7dfd44db61b6c3a3a37f88c1a8d372299712c071ad04626220"", ""f13e596bf2974677f2d476dcc77b594f77d4f9427d27dae4f99b846d8c7c7bdf""]"	homogeneous qualified RTX-5090 production lineage	True	True	PASS
stage2_primary	plain	source	"[""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__source/worker_0/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__source/worker_1/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__source/worker_2/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__source/worker_3/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__source/worker_4/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain__source/worker_5/records.jsonl""]"	"[""d46f680f58420fa402e3deb8e0cb5234c1ed3695b2cc690c91f450f435d3577a"", ""d47cfee52eab539c97125a1278523f9a4a0017612819e506ef7c78a218976459"", ""664049489f2c08d1b4bf7443c5f2db04bc09b347d60ec8f3b695ae71034eb32f"", ""75ad4f8b6d1eb68bf0644663b5234d7f73757765621fe8d7f39f8366de901ba0"", ""a4a8c7e2f07a5117a2d5c53d75b36acca638d9196e61d903bd0c30cd905fbb48"", ""2e2b846aa1d9bf131d7edd95b7409d1854f5f32abf0b5cad3a68613ad301672e""]"	53c5eb8558e42852e7c63422f489129cf4fbf50f34df1889f2f2f99be474a71e	2653	65cd7a6aa4665d475f3663a6aec054a1eeb99bc283ba841cc20384abb257aa17	2400	502f909669b6be5887377a5e3b2657b32b4cdaea4d12b692ea21bf283527c7ac	"[""e629c5c818e527b810e6df8d6707e7c634f17ff984280479a992fb2b558569cb""]"	"[""5c5627554f044d10b9c7c891aab756a81245e70bdee213d27648887b0e48079b""]"	"[""66285546d2b821cf421d4f5eb2576359d3770cd3""]"	"[""stage2-primary-v1""]"	"[""1413e536e25e8e7dfd44db61b6c3a3a37f88c1a8d372299712c071ad04626220"", ""f13e596bf2974677f2d476dcc77b594f77d4f9427d27dae4f99b846d8c7c7bdf""]"	homogeneous qualified RTX-5090 production lineage	True	True	PASS
stage2_primary	plain_desc	grey	"[""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__grey/worker_0/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__grey/worker_1/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__grey/worker_2/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__grey/worker_3/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__grey/worker_4/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__grey/worker_5/records.jsonl""]"	"[""da2a6786b731a1b20b7b42951199e39c69e34203ea0201119e4903c105648c07"", ""bff94dfe85375b46cfd3baf6be122d3eb0f8efeaf7dfc47b3ce87ce87331e06d"", ""7c6590e9dac4113a057b83a3d8c82edaa47253334c106b8d0833f88594aeaf45"", ""8694ca20a5822e234dc11a65b7433ec96c10c8e9d139989da1a31dbc8e5ef604"", ""737ccee6eb3dd738c1ae9ddfbcbc61de4a36165c6c015aed698b8f2d50dd7bd5"", ""b3c78b62fbfe6ba88ea54002b031e5728f6b496c149d78143344e37cc13de116""]"	0e256c00d32013a325acaa8c86b381b39cd074675a650ac999975d7143b16907	2653	65cd7a6aa4665d475f3663a6aec054a1eeb99bc283ba841cc20384abb257aa17	2400	0a548435ed13997afb0b3f82c7c53a299c7f6bdfade5b93f913d35c2e0f29c4b	"[""b6016869c99b4ef27099f0e40aba3f28a6ea9528820144203b0ba06dbcb9a6b8""]"	"[""05a32ade19c26dc61eb5eaa3202c20bb3e084aa36eb944ed0d16627125b02e09""]"	"[""66285546d2b821cf421d4f5eb2576359d3770cd3""]"	"[""stage2-primary-v1""]"	"[""1413e536e25e8e7dfd44db61b6c3a3a37f88c1a8d372299712c071ad04626220"", ""f13e596bf2974677f2d476dcc77b594f77d4f9427d27dae4f99b846d8c7c7bdf""]"	homogeneous qualified RTX-5090 production lineage	True	True	PASS
stage2_primary	plain_desc	mask	"[""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__mask/worker_0/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__mask/worker_1/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__mask/worker_2/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__mask/worker_3/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__mask/worker_4/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__mask/worker_5/records.jsonl""]"	"[""13ee9e5ba4162586f8057ce6e38afedd9367723e3d0e54559d6ac6773f0e725a"", ""e2bc4dd42cd5b212b072fffbea1556a1bc734abf5a71976b8d276c728a72d084"", ""92de9a498851bd1fa4a84f3eae4ddc5339d73f67502992324f6939d01e6e51ca"", ""a18ae22199ef3c75ec0319b2cb3d73c37833c09741d93208eced1efc2a275d8d"", ""146dea90769329f50f3566bfab6d5a2340d41a247389bfbd24df97eecd5b9a89"", ""e8e518a979880c5755e738505c398c502cd8cab0deb7dae77a0fbfbb92f2515c""]"	9deee3d751bff87ffb61675b6db5ceedbede7b2e8f9f1405da47f6addea48df4	2653	65cd7a6aa4665d475f3663a6aec054a1eeb99bc283ba841cc20384abb257aa17	2400	0a548435ed13997afb0b3f82c7c53a299c7f6bdfade5b93f913d35c2e0f29c4b	"[""b6016869c99b4ef27099f0e40aba3f28a6ea9528820144203b0ba06dbcb9a6b8""]"	"[""05a32ade19c26dc61eb5eaa3202c20bb3e084aa36eb944ed0d16627125b02e09""]"	"[""66285546d2b821cf421d4f5eb2576359d3770cd3""]"	"[""stage2-primary-v1""]"	"[""1413e536e25e8e7dfd44db61b6c3a3a37f88c1a8d372299712c071ad04626220"", ""f13e596bf2974677f2d476dcc77b594f77d4f9427d27dae4f99b846d8c7c7bdf""]"	homogeneous qualified RTX-5090 production lineage	True	True	PASS
stage2_primary	plain_desc	mirror	"[""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__mirror/worker_0/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__mirror/worker_1/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__mirror/worker_2/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__mirror/worker_3/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__mirror/worker_4/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__mirror/worker_5/records.jsonl""]"	"[""933b0d0bbe3fb4849035e6169024f27159fdf9d0267c15c3a1d88a7561371639"", ""cf4de4d2e6104f31fe764bef52ca77135f70b85af03a0bcbc5ccf16f90b49cdf"", ""1a4d9bf96ec9c3ed41c717100b5ffa415d7322bc210b1b5c77788fa8316fa127"", ""abf8e00500fd21591c86437fb75799027f57466e67e6a0a7156d45f4f5d88cbc"", ""00430da78e9b2c361f926d0e7a5487d9d72c655b2b731d279c2ddc13909d69c8"", ""432b2df46f895fa534dc562ab012d3c2b5f26161523cdcff93a0e61215f915b3""]"	8bdd3150564db72d8c66f56b2f2c02a6d5866958f70068ad5a307e463b1a7a7d	2653	65cd7a6aa4665d475f3663a6aec054a1eeb99bc283ba841cc20384abb257aa17	2400	0a548435ed13997afb0b3f82c7c53a299c7f6bdfade5b93f913d35c2e0f29c4b	"[""b6016869c99b4ef27099f0e40aba3f28a6ea9528820144203b0ba06dbcb9a6b8""]"	"[""05a32ade19c26dc61eb5eaa3202c20bb3e084aa36eb944ed0d16627125b02e09""]"	"[""66285546d2b821cf421d4f5eb2576359d3770cd3""]"	"[""stage2-primary-v1""]"	"[""1413e536e25e8e7dfd44db61b6c3a3a37f88c1a8d372299712c071ad04626220"", ""f13e596bf2974677f2d476dcc77b594f77d4f9427d27dae4f99b846d8c7c7bdf""]"	homogeneous qualified RTX-5090 production lineage	True	True	PASS
stage2_primary	plain_desc	mismatch	"[""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__mismatch/worker_0/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__mismatch/worker_1/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__mismatch/worker_2/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__mismatch/worker_3/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__mismatch/worker_4/records.jsonl"", ""data/external/execution/v11-final-2653-20260830-f8349fa0/incoming/shards/stage2/stage2_primary/plain_desc__mismatch/worker_5/records.jsonl""]"	"[""06c3ef9b1a9436292f46325b2605a1e2ca263b721627457ab62aa59dbb07ec8e"", ""bd647089fa3c3c2fd1eec439eeb7aab35c25625d0226ec37a3bb47a4172a13cd"", ""be1d2f3ff8800673316ce5cf16d833c1ce6f5aed456232379a8dea9d13cb77e9"", ""dcd0b7eb2df10cad3a57012ed366dbc3573cdd53ced4e8ffc41042331bafa20f"", ""0eddf36e90507fe9833b297581b0ee4c2130942a54e39d5252d8908b4c52e3fa"", ""bcd9d33d5b41f740c850b81d0c8b8eb98539b8070593b6fb7449b3396ad39177""]"	d531f4020ad4294798752b30bd9763f0f269bf3961305917d5c6d00d7691c30e	2653	65cd7a6aa4665d475f3663a6aec054a1eeb99bc283ba841cc20384abb257aa17	2400	0a548435ed13997afb0b3f82c7c53a299c7f6bdfade5b93f913d35c2e0f29c4b	"[""b6016869c99b4ef27099f0e40aba3f28a6ea9528820144203b0ba06dbcb9a6b8""]"	"[""05a32ade19c26dc61eb5eaa3202c20bb3e084aa36eb944ed0d16627125b02e09""]"	"[""66285546d2b821cf421d4f5eb2576359d3770cd3""]"	"[""stage2-primary-v1""]"	"[""1413e536e25e8e7dfd44db61b6c3a3a37f88c1a8d372299712c071ad04626220"", ""f13e596bf2974677f2d476dcc77b594f77d4f9427d27dae4f99b846d8c7c7bdf""]"	homogeneous qualified RTX-5090 production lineage	True	True	PASS
