arm	record_id	source_frame_id	gold_label	pred_source	correct_source	pred_grey	correct_grey	pred_mismatch	correct_mismatch	pred_mask	correct_mask	pred_noise	correct_noise	pred_mirror	correct_mirror
plain	2612	2364	1	0	0	2	0	3	0	2	0	3	0	0	0
plain	1303	1179	2	2	1	3	0	2	1	2	1	2	1	2	1
plain	1949	1758	3	3	1	0	0	1	0	2	0	0	0	2	0
plain	1298	1174	3	3	1	2	0	3	1	3	1	3	1	3	1
plain	1336	1208	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	272	251	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	683	622	0	2	0	1	0	2	0	0	1	2	0	2	0
plain	127	121	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	1543	1399	2	2	1	1	0	3	0	2	1	2	1	2	1
plain	1036	942	0	0	1	2	0	2	0	0	1	0	1	0	1
plain	1037	942	0	0	1	0	1	0	1	0	1	3	0	0	1
plain	288	267	1	1	1	0	0	1	1	2	0	2	0	1	1
plain	1748	1579	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	265	245	0	0	1	2	0	0	1	2	0	2	0	0	1
plain	1553	1408	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	2521	2279	2	2	1	2	1	0	0	2	1	2	1	2	1
plain	2327	2099	0	0	1	1	0	2	0	0	1	0	1	0	1
plain	2547	2304	1	2	0	0	0	0	0	2	0	0	0	2	0
plain	1537	1394	3	3	1	3	1	3	1	3	1	3	1	0	0
plain	1536	1394	2	2	1	2	1	0	0	2	1	2	1	2	1
plain	1400	1267	3	3	1	3	1	1	0	3	1	3	1	3	1
plain	1399	1267	0	1	0	1	0	1	0	1	0	1	0	1	0
plain	1330	1202	1	3	0	2	0	2	0	3	0	3	0	1	1
plain	2271	2047	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	1086	986	1	2	0	1	1	2	0	1	1	2	0	2	0
plain	1417	1284	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	1371	1240	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	843	770	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	2080	1871	0	0	1	2	0	3	0	2	0	3	0	0	1
plain	1819	1643	0	2	0	3	0	3	0	3	0	3	0	2	0
plain	2039	1837	0	0	1	2	0	2	0	2	0	0	1	0	1
plain	689	627	1	1	1	0	0	1	1	3	0	1	1	1	1
plain	688	627	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	2541	2298	1	1	1	2	0	3	0	1	1	2	0	1	1
plain	2126	1914	1	1	1	3	0	1	1	1	1	1	1	1	1
plain	404	372	0	0	1	3	0	3	0	2	0	0	1	0	1
plain	2204	1986	1	1	1	2	0	2	0	1	1	2	0	1	1
plain	2236	2016	2	2	1	0	0	1	0	2	1	2	1	2	1
plain	1042	946	3	3	1	2	0	3	1	3	1	2	0	3	1
plain	1043	946	3	3	1	3	1	3	1	3	1	2	0	3	1
plain	364	335	3	1	0	1	0	1	0	1	0	1	0	1	0
plain	669	609	0	0	1	0	1	2	0	0	1	3	0	0	1
plain	1328	1200	1	1	1	1	1	3	0	1	1	1	1	1	1
plain	2037	1835	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	618	559	1	1	1	0	0	3	0	1	1	1	1	1	1
plain	1184	1076	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	1302	1178	0	0	1	2	0	2	0	2	0	2	0	0	1
plain	2038	1836	0	0	1	2	0	1	0	0	1	2	0	0	1
plain	347	319	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	1666	1508	3	2	0	3	1	2	0	2	0	2	0	2	0
plain	1839	1661	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	2471	2231	0	1	0	1	0	3	0	2	0	2	0	3	0
plain	1024	931	3	3	1	2	0	1	0	2	0	2	0	3	1
plain	198	180	3	3	1	3	1	2	0	3	1	3	1	3	1
plain	222	204	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	1319	1192	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	2247	2027	3	2	0	2	0	3	1	2	0	3	1	2	0
plain	23	24	3	1	0	1	0	0	0	1	0	1	0	1	0
plain	2104	1893	2	2	1	1	0	1	0	2	1	3	0	2	1
plain	2272	2048	3	3	1	3	1	2	0	3	1	3	1	3	1
plain	2240	2020	0	0	1	2	0	2	0	0	1	0	1	0	1
plain	913	836	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	2639	2388	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	2638	2388	2	2	1	3	0	3	0	2	1	2	1	2	1
plain	2634	2384	3	3	1	0	0	2	0	0	0	3	1	3	1
plain	481	436	0	1	0	1	0	0	1	1	0	1	0	1	0
plain	2329	2101	1	1	1	2	0	2	0	1	1	1	1	1	1
plain	2513	2271	2	2	1	1	0	0	0	0	0	1	0	2	1
plain	446	410	0	0	1	2	0	2	0	1	0	1	0	0	1
plain	2284	2060	1	0	0	3	0	3	0	3	0	0	0	0	0
plain	2596	2348	0	0	1	1	0	0	1	0	1	0	1	0	1
plain	2635	2385	3	0	0	0	0	0	0	0	0	1	0	0	0
plain	2480	2240	0	0	1	3	0	3	0	0	1	0	1	0	1
plain	15	16	1	1	1	2	0	2	0	1	1	1	1	1	1
plain	2510	2269	1	0	0	2	0	1	1	0	0	1	1	1	1
plain	1423	1290	1	1	1	0	0	1	1	1	1	0	0	1	1
plain	394	363	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	2152	1936	3	1	0	2	0	0	0	1	0	1	0	3	1
plain	2150	1936	1	1	1	0	0	2	0	2	0	1	1	1	1
plain	2015	1816	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	1742	1573	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	460	420	2	2	1	0	0	0	0	0	0	0	0	2	1
plain	697	634	2	0	0	1	0	0	0	2	1	0	0	0	0
plain	2066	1859	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	2067	1859	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	656	597	1	1	1	2	0	1	1	2	0	2	0	1	1
plain	605	548	0	2	0	2	0	2	0	2	0	2	0	2	0
plain	230	212	2	2	1	1	0	1	0	2	1	2	1	2	1
plain	1124	1019	1	1	1	0	0	1	1	1	1	1	1	1	1
plain	2553	2308	3	3	1	3	1	1	0	3	1	3	1	3	1
plain	640	581	1	1	1	0	0	0	0	0	0	0	0	0	0
plain	670	610	2	2	1	2	1	2	1	3	0	2	1	2	1
plain	384	354	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	2020	1821	2	2	1	0	0	3	0	2	1	2	1	2	1
plain	2364	2130	3	1	0	1	0	3	1	1	0	1	0	1	0
plain	77	76	0	0	1	3	0	0	1	3	0	3	0	0	1
plain	942	863	3	3	1	3	1	1	0	3	1	3	1	3	1
